en	fixed_expression	a bit	немного
en	fixed_expression	a great deal	множество
en	fixed_expression	a great many	несметное количество, очень много
en	fixed_expression	a little bit	немного
en	fixed_expression	a number of	ряд, много
en	fixed_expression	about time	самое время (что-то сделать)
en	fixed_expression	above all	прежде всего
en	fixed_expression	add fuel to the flame	добавлять масло в огонь
en	fixed_expression	after a short time	вскоре
en	fixed_expression	after all	в конце концов
en	fixed_expression	ahead of time	заблаговременно
en	fixed_expression	aim high	метить высоко (об амбициях)
en	fixed_expression	all day long	весь день напролет
en	fixed_expression	all for nothing	напрасно
en	fixed_expression	all night long	всю ночь напролет
en	fixed_expression	any day	когда угодно
en	fixed_expression	around the clock	круглосуточно
en	fixed_expression	as a matter of fact	в сущности, фактически
en	fixed_expression	as a result	в итоге, в результате
en	fixed_expression	as a rule	как правило
en	fixed_expression	as it is	как есть
en	fixed_expression	as usual	как обычно
en	fixed_expression	at a glance	моментально, с первого взгляда
en	fixed_expression	at a guess	приблизительно, навскидку
en	fixed_expression	at all	совсем
en	fixed_expression	at all times	во все времена
en	fixed_expression	at any cost	во что бы то ни стало
en	fixed_expression	at any price	любой ценой
en	fixed_expression	at arm’s length	на расстоянии вытянутой руки
en	fixed_expression	at best	в лучшем случае
en	fixed_expression	at breakfast	за завтраком
en	fixed_expression	at first	сначала
en	fixed_expression	at first sight	с первого взгляда
en	fixed_expression	at home	дома
en	fixed_expression	at last	наконец-то
en	fixed_expression	at least	по крайней мере
en	fixed_expression	at the age of	в возрасте
en	fixed_expression	at the beginning	в начале
en	fixed_expression	at the corner	в углу
en	fixed_expression	at the end	в конце
en	fixed_expression	at the moment	в данный момент
en	fixed_expression	at the same time	в то же время
en	fixed_expression	at the worst possible time	в самое неподходящее время
en	fixed_expression	at times	иногда
en	fixed_expression	at will	по желанию
en	fixed_expression	back down	отступать
en	fixed_expression	be in effect	быть в силе (об уговоре)
en	fixed_expression	be in error	ошибаться
en	fixed_expression	be quits	быть в расчете
en	fixed_expression	be up to	собираться, намереваться
en	fixed_expression	be well off	быть обеспеченным (о достатке)
en	fixed_expression	beside the point	некстати
en	fixed_expression	beside the question	не по существу
en	fixed_expression	beyond all doubt	вне всякого сомнения
